Type,Date,AdjClose
BNB,4/3/2023,308.562378
BNB,4/4/2023,310.994843
BNB,4/5/2023,314.063171
BNB,4/6/2023,312.454651
BNB,4/7/2023,310.699493
BNB,4/8/2023,310.634735
BNB,4/9/2023,312.872253
BNB,4/10/2023,318.379059
BNB,4/11/2023,322.75827
BNB,4/12/2023,318.953766
BNB,4/13/2023,324.94809
BNB,4/14/2023,329.173859
BNB,4/15/2023,333.407288
BNB,4/16/2023,348.220917
BNB,4/17/2023,339.99411
BNB,4/18/2023,343.193451
BNB,4/19/2023,322.70752
BNB,4/20/2023,317.889923
BNB,4/21/2023,321.674988
BNB,4/22/2023,331.995087
BNB,4/23/2023,330.618835
BNB,4/24/2023,331.24588
BNB,4/25/2023,338.325562
BNB,4/26/2023,330.821777
BNB,4/27/2023,331.195099
BNB,4/28/2023,324.500244
BNB,4/29/2023,322.134735
BNB,4/30/2023,337.645538
BNB,5/1/2023,328.724213
BNB,5/2/2023,321.952698
BNB,5/3/2023,326.212891
BNB,5/4/2023,323.917145
BNB,5/5/2023,326.940308
BNB,5/6/2023,322.774017
BNB,5/7/2023,321.611053
BNB,5/8/2023,313.971222
BNB,5/9/2023,312.513702
BNB,5/10/2023,314.577454
BNB,5/11/2023,307.695831
BNB,5/12/2023,308.603119
BNB,5/13/2023,311.086884
BNB,5/14/2023,312.135895
BNB,5/15/2023,313.529419
BNB,5/16/2023,311.380035
BNB,5/17/2023,314.083527
BNB,5/18/2023,309.456696
BNB,5/19/2023,308.964294
BNB,5/20/2023,310.719971
BNB,5/21/2023,306.506714
BNB,5/22/2023,309.245636
BNB,5/23/2023,313.506226
BNB,5/24/2023,305.93277
BNB,5/25/2023,304.733643
BNB,5/26/2023,306.886322
BNB,5/27/2023,307.591766
BNB,5/28/2023,314.27005
BNB,5/29/2023,311.80719
BNB,5/30/2023,311.684509
BNB,5/31/2023,306.866699
BNB,6/1/2023,304.953278
BNB,6/2/2023,307.423798
BNB,6/3/2023,306.720123
BNB,6/4/2023,305.156799
BNB,6/5/2023,276.889252
BNB,6/6/2023,281.495575
BNB,6/7/2023,259.391449
BNB,6/8/2023,262.148499
BNB,6/9/2023,260.716095
BNB,6/10/2023,239.089081
BNB,6/11/2023,235.438797
BNB,6/12/2023,231.051437
BNB,6/13/2023,243.890533
BNB,6/14/2023,237.574265
BNB,6/15/2023,236.280685
BNB,6/16/2023,239.11467
