Type,Date,AdjClose
BTC,4/3/2023,27790.2207
BTC,4/4/2023,28168.08984
BTC,4/5/2023,28177.98438
BTC,4/6/2023,28044.14063
BTC,4/7/2023,27925.85938
BTC,4/8/2023,27947.79492
BTC,4/9/2023,28333.05078
BTC,4/10/2023,29652.98047
BTC,4/11/2023,30235.05859
BTC,4/12/2023,30139.05273
BTC,4/13/2023,30399.06641
BTC,4/14/2023,30485.69922
BTC,4/15/2023,30318.49609
BTC,4/16/2023,30315.35547
BTC,4/17/2023,29445.04492
BTC,4/18/2023,30397.55273
BTC,4/19/2023,28822.67969
BTC,4/20/2023,28245.98828
BTC,4/21/2023,27276.91016
BTC,4/22/2023,27817.5
BTC,4/23/2023,27591.38477
BTC,4/24/2023,27525.33984
BTC,4/25/2023,28307.59766
BTC,4/26/2023,28422.70117
BTC,4/27/2023,29473.78711
BTC,4/28/2023,29340.26172
BTC,4/29/2023,29248.48828
BTC,4/30/2023,29268.80664
BTC,5/1/2023,28091.56836
BTC,5/2/2023,28680.53711
BTC,5/3/2023,29006.30859
BTC,5/4/2023,28847.71094
BTC,5/5/2023,29534.38477
BTC,5/6/2023,28904.62305
BTC,5/7/2023,28454.97852
BTC,5/8/2023,27694.27344
BTC,5/9/2023,27658.77539
BTC,5/10/2023,27621.75586
BTC,5/11/2023,27000.78906
BTC,5/12/2023,26804.99023
BTC,5/13/2023,26784.07813
BTC,5/14/2023,26930.63867
BTC,5/15/2023,27192.69336
BTC,5/16/2023,27036.65039
BTC,5/17/2023,27398.80273
BTC,5/18/2023,26832.20898
BTC,5/19/2023,26890.12891
BTC,5/20/2023,27129.58594
BTC,5/21/2023,26753.82617
BTC,5/22/2023,26851.27734
BTC,5/23/2023,27225.72656
BTC,5/24/2023,26334.81836
BTC,5/25/2023,26476.20703
BTC,5/26/2023,26719.29102
BTC,5/27/2023,26868.35352
BTC,5/28/2023,28085.64648
BTC,5/29/2023,27745.88477
BTC,5/30/2023,27702.34961
BTC,5/31/2023,27219.6582
BTC,6/1/2023,26819.97266
BTC,6/2/2023,27249.58984
BTC,6/3/2023,27075.12891
BTC,6/4/2023,27119.06641
BTC,6/5/2023,25760.09766
BTC,6/6/2023,27238.7832
BTC,6/7/2023,26345.99805
BTC,6/8/2023,26508.2168
BTC,6/9/2023,26480.375
BTC,6/10/2023,25851.24023
BTC,6/11/2023,25940.16797
BTC,6/12/2023,25902.5
BTC,6/13/2023,25918.72852
BTC,6/14/2023,25124.67578
BTC,6/15/2023,25576.39453
BTC,6/16/2023,26327.46289
