Type,Date,AdjClose
ETH,4/3/2023,1810.297119
ETH,4/4/2023,1871.005127
ETH,4/5/2023,1909.114014
ETH,4/6/2023,1872.922607
ETH,4/7/2023,1865.636108
ETH,4/8/2023,1849.498169
ETH,4/9/2023,1859.387817
ETH,4/10/2023,1911.20752
ETH,4/11/2023,1892.189697
ETH,4/12/2023,1920.682129
ETH,4/13/2023,2012.634644
ETH,4/14/2023,2101.635498
ETH,4/15/2023,2092.466797
ETH,4/16/2023,2120.005859
ETH,4/17/2023,2076.24292
ETH,4/18/2023,2104.537354
ETH,4/19/2023,1936.403442
ETH,4/20/2023,1943.097656
ETH,4/21/2023,1849.999878
ETH,4/22/2023,1874.228638
ETH,4/23/2023,1862.062012
ETH,4/24/2023,1842.757446
ETH,4/25/2023,1866.753662
ETH,4/26/2023,1866.564209
ETH,4/27/2023,1908.786377
ETH,4/28/2023,1892.512817
ETH,4/29/2023,1908.916992
ETH,4/30/2023,1876.924316
ETH,5/1/2023,1831.954834
ETH,5/2/2023,1870.789307
ETH,5/3/2023,1904.651855
ETH,5/4/2023,1877.704102
ETH,5/5/2023,1995.060913
ETH,5/6/2023,1900.221802
ETH,5/7/2023,1873.076416
ETH,5/8/2023,1849.042725
ETH,5/9/2023,1848.603149
ETH,5/10/2023,1842.401489
ETH,5/11/2023,1796.490601
ETH,5/12/2023,1808.019775
ETH,5/13/2023,1796.114868
ETH,5/14/2023,1800.500977
ETH,5/15/2023,1817.549927
ETH,5/16/2023,1824.12146
ETH,5/17/2023,1821.859619
ETH,5/18/2023,1801.728516
ETH,5/19/2023,1812.589478
ETH,5/20/2023,1820.478027
ETH,5/21/2023,1804.531372
ETH,5/22/2023,1817.53479
ETH,5/23/2023,1854.380615
ETH,5/24/2023,1800.099976
ETH,5/25/2023,1805.953735
ETH,5/26/2023,1828.689697
ETH,5/27/2023,1831.118286
ETH,5/28/2023,1910.914185
ETH,5/29/2023,1893.078125
ETH,5/30/2023,1901.026611
ETH,5/31/2023,1874.130493
ETH,6/1/2023,1862.201416
ETH,6/2/2023,1907.256592
ETH,6/3/2023,1892.412476
ETH,6/4/2023,1890.51355
ETH,6/5/2023,1811.828369
ETH,6/6/2023,1884.494873
ETH,6/7/2023,1832.395996
ETH,6/8/2023,1846.30188
ETH,6/9/2023,1840.22522
ETH,6/10/2023,1752.384766
ETH,6/11/2023,1753.415283
ETH,6/12/2023,1742.528687
ETH,6/13/2023,1739.037598
ETH,6/14/2023,1650.519287
ETH,6/15/2023,1665.519775
ETH,6/16/2023,1716.668823
