Type,Date,AdjClose
XRP,4/3/2023,0.49696
XRP,4/4/2023,0.503479
XRP,4/5/2023,0.506235
XRP,4/6/2023,0.503298
XRP,4/7/2023,0.513736
XRP,4/8/2023,0.505716
XRP,4/9/2023,0.505834
XRP,4/10/2023,0.518318
XRP,4/11/2023,0.517518
XRP,4/12/2023,0.506115
XRP,4/13/2023,0.513292
XRP,4/14/2023,0.523993
XRP,4/15/2023,0.520444
XRP,4/16/2023,0.521392
XRP,4/17/2023,0.511127
XRP,4/18/2023,0.532264
XRP,4/19/2023,0.491599
XRP,4/20/2023,0.474858
XRP,4/21/2023,0.449396
XRP,4/22/2023,0.472661
XRP,4/23/2023,0.465016
XRP,4/24/2023,0.461273
XRP,4/25/2023,0.469995
XRP,4/26/2023,0.462037
XRP,4/27/2023,0.466868
XRP,4/28/2023,0.480271
XRP,4/29/2023,0.478409
XRP,4/30/2023,0.472332
XRP,5/1/2023,0.464966
XRP,5/2/2023,0.464951
XRP,5/3/2023,0.463494
XRP,5/4/2023,0.461573
XRP,5/5/2023,0.4678
XRP,5/6/2023,0.459549
XRP,5/7/2023,0.450364
XRP,5/8/2023,0.428915
XRP,5/9/2023,0.429888
XRP,5/10/2023,0.430873
XRP,5/11/2023,0.421879
XRP,5/12/2023,0.430718
XRP,5/13/2023,0.424903
XRP,5/14/2023,0.42586
XRP,5/15/2023,0.427562
XRP,5/16/2023,0.441422
XRP,5/17/2023,0.448589
XRP,5/18/2023,0.460299
XRP,5/19/2023,0.467982
XRP,5/20/2023,0.469081
XRP,5/21/2023,0.45755
XRP,5/22/2023,0.461601
XRP,5/23/2023,0.46543
XRP,5/24/2023,0.453609
XRP,5/25/2023,0.453734
XRP,5/26/2023,0.46914
XRP,5/27/2023,0.472245
XRP,5/28/2023,0.482889
XRP,5/29/2023,0.494151
XRP,5/30/2023,0.521938
XRP,5/31/2023,0.517386
XRP,6/1/2023,0.507317
XRP,6/2/2023,0.525387
XRP,6/3/2023,0.519351
XRP,6/4/2023,0.535911
XRP,6/5/2023,0.510394
XRP,6/6/2023,0.530464
XRP,6/7/2023,0.519628
XRP,6/8/2023,0.524546
XRP,6/9/2023,0.537917
XRP,6/10/2023,0.508199
XRP,6/11/2023,0.521221
XRP,6/12/2023,0.525721
XRP,6/13/2023,0.520086
XRP,6/14/2023,0.48022
XRP,6/15/2023,0.480118
XRP,6/16/2023,0.475743
